Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
1,2018/2019,3,PDS114,6.5,14.4,10.0,10.0,15.33,15.3,46.2,,,30.4,76.6,A-
1,2018/2019,3,PDS115,5.5,16.8,8.0,8.0,16.67,16.7,47.0,,,36.0,83.0,A
1,2018/2019,3,PDS116,8.5,15.2,10.0,10.0,16.67,16.7,50.4,,,29.6,80.0,A
1,2018/2019,3,PDS117,7.5,18.4,10.0,10.0,17.33,17.3,53.2,,,26.4,79.6,A-
1,2018/2019,3,PDS118,5.0,14.4,10.0,10.0,15.67,15.7,45.1,,,17.6,62.7,B-
1,2018/2019,3,PDS119,5.5,14.0,10.0,10.0,17.33,17.3,46.8,,,22.4,69.2,B
1,2018/2019,3,PDS120,7.5,17.2,10.0,10.0,17.67,17.7,52.4,,,27.2,79.6,A-
1,2018/2019,3,PDS121,6.5,15.6,2.0,2.0,0.0,0.0,24.1,,,0.0,24.1,F
1,2018/2019,3,PDS122,6.0,10.4,10.0,10.0,15.0,15.0,41.4,,,24.0,65.4,B
1,2018/2019,3,PDS123,6.0,13.2,8.0,8.0,17.33,17.3,44.5,,,26.4,70.9,B+
1,2018/2019,3,PDS124,5.5,14.8,8.0,8.0,10.33,10.3,38.6,,,26.4,65.0,B
1,2018/2019,3,PDS125,7.0,14.0,10.0,10.0,18.33,18.3,49.3,,,28.8,78.1,A-
1,2018/2019,3,PDS126,6.0,15.2,9.0,9.0,12.33,12.3,42.5,,,29.6,72.1,B+
1,2018/2019,3,PDS127,7.0,15.6,8.0,8.0,17.67,17.7,48.3,,,17.6,65.9,B
1,2018/2019,3,PDS128,5.0,14.0,10.0,10.0,15.0,15.0,44.0,,,31.2,75.2,A-
1,2018/2019,3,PDS129,5.0,16.4,10.0,10.0,17.33,17.3,48.7,,,27.2,75.9,A-
1,2018/2019,3,PDS130,7.0,13.2,10.0,10.0,12.33,12.3,42.5,,,32.0,74.5,B+
1,2018/2019,3,PDS131,6.5,14.4,10.0,10.0,12.33,12.3,43.2,,,21.6,64.8,B-
1,2018/2019,3,PDS132,5.0,16.0,8.0,8.0,16.0,16.0,45.0,,,29.6,74.6,B+
1,2018/2019,3,PDS133,7.5,14.8,9.0,9.0,15.0,15.0,46.3,,,18.4,64.7,B-
1,2018/2019,3,PDS134,6.0,14.8,10.0,10.0,15.0,15.0,45.8,,,24.0,69.8,B
1,2018/2019,3,PDS135,6.5,14.4,8.0,8.0,12.33,12.3,41.2,,,28.8,70.0,B+
1,2018/2019,3,PDS136,5.5,11.6,10.0,10.0,15.0,15.0,42.1,,,27.2,69.3,B
1,2018/2019,3,PDS137,5.5,13.2,10.0,10.0,15.0,15.0,43.7,,,18.4,62.1,B-
1,2018/2019,3,PDS138,8.0,16.0,10.0,10.0,15.0,15.0,49.0,,,36.8,85.8,A
1,2018/2019,3,PDS139,5.5,16.0,10.0,10.0,17.33,17.3,48.8,,,35.2,84.0,A
1,2018/2019,3,PDS140,6.0,17.2,10.0,10.0,17.67,17.7,50.9,,,33.6,84.5,A
1,2018/2019,3,PDS141,6.0,17.6,10.0,10.0,16.0,16.0,49.6,,,38.4,88.0,A
1,2018/2019,3,PDS142,6.0,15.6,10.0,10.0,16.0,16.0,47.6,,,32.0,79.6,A-
1,2018/2019,3,PDS143,6.0,18.0,8.0,8.0,15.67,15.7,47.7,,,30.4,78.1,A-
1,2018/2019,3,PDS144,5.0,12.4,8.0,8.0,15.0,15.0,40.4,,,32.0,72.4,B+
1,2018/2019,3,PDS145,4.0,10.0,4.0,4.0,15.33,15.3,33.3,,,8.8,42.1,D+
1,2018/2019,3,PDS146,5.0,13.2,10.0,10.0,16.0,16.0,44.2,,,25.6,69.8,B
1,2018/2019,3,PDS147,5.0,16.8,10.0,10.0,17.33,17.3,49.1,,,37.6,86.7,A
1,2018/2019,3,PDS148,5.5,16.0,8.0,8.0,16.0,16.0,45.5,,,35.2,80.7,A
1,2018/2019,3,PDS149,6.5,18.4,10.0,10.0,17.67,17.7,52.6,,,30.4,83.0,A
1,2018/2019,3,PDS150,6.5,12.8,10.0,10.0,15.67,15.7,45.0,,,36.0,81.0,A
1,2018/2019,3,PDS151,6.0,15.2,10.0,10.0,15.0,15.0,46.2,,,31.2,77.4,A-
1,2018/2019,3,PDS152,6.0,16.4,8.0,8.0,19.33,19.3,49.7,,,31.2,80.9,A
1,2018/2019,3,PDS153,5.0,14.4,4.0,4.0,15.0,15.0,38.4,,,12.0,50.4,C
1,2018/2019,3,PDS154,5.0,12.0,7.0,7.0,17.33,17.3,41.3,,,23.2,64.5,B-
1,2018/2019,3,PDS155,5.5,17.8,8.0,8.0,16.0,16.0,47.3,,,29.6,76.9,A-
1,2018/2019,3,PDS156,4.0,16.0,10.0,10.0,15.33,15.3,45.3,,,20.0,65.3,B
1,2018/2019,3,PDS157,5.0,13.2,9.0,9.0,18.33,18.3,45.5,,,20.0,65.5,B
1,2018/2019,3,PDS158,7.0,16.4,10.0,10.0,15.0,15.0,48.4,,,25.6,74.0,B+
1,2018/2019,3,PDS159,7.0,14.4,8.0,8.0,12.33,12.3,41.7,,,21.6,63.3,B-
2,2018/2019,4,PDS160,7.0,13.2,8.0,8.0,11.0,11.0,39.2,,,31.5,70.7,B+
2,2018/2019,4,PDS161,8.0,10.4,7.0,7.0,16.0,16.0,41.4,,,25.0,66.4,B
2,2018/2019,4,PDS162,8.0,12.4,10.0,10.0,16.67,16.7,47.1,,,26.5,73.6,B+
2,2018/2019,4,PDS163,8.0,8.8,7.0,7.0,18.33,18.3,42.1,,,27.0,69.1,B
2,2018/2019,4,PDS164,8.0,12.4,9.0,9.0,18.33,18.3,47.7,,,23.0,70.7,B+
2,2018/2019,4,PDS165,8.0,12.0,10.0,10.0,17.0,17.0,47.0,,,28.5,75.5,A-
2,2018/2019,4,PDS166,7.5,14.0,10.0,10.0,15.67,15.7,47.2,,,26.0,73.2,B+
2,2018/2019,4,PDS167,9.0,14.0,9.0,9.0,11.0,11.0,43.0,,,22.0,65.0,B
2,2018/2019,4,PDS168,7.0,14.4,10.0,10.0,17.0,17.0,48.4,,,32.0,80.4,A
2,2018/2019,4,PDS169,9.0,16.0,9.0,9.0,16.67,16.7,50.7,,,27.0,77.7,A-
2,2018/2019,4,PDS170,8.0,17.2,9.0,9.0,17.0,17.0,51.2,,,29.5,80.7,A
2,2018/2019,4,PDS171,8.5,15.2,9.0,9.0,17.0,17.0,49.7,,,25.0,74.7,B+
2,2018/2019,4,PDS172,8.5,16.0,9.0,9.0,18.33,18.3,51.8,,,32.0,83.8,A
2,2018/2019,4,PDS173,6.0,18.8,10.0,10.0,15.67,15.7,50.5,,,33.0,83.5,A
2,2018/2019,4,PDS174,7.0,16.4,10.0,10.0,16.67,16.7,50.1,,,23.0,73.1,B+
2,2018/2019,4,PDS175,8.0,11.6,8.0,8.0,16.67,16.7,44.3,,,22.0,66.3,B
2,2018/2019,4,PDS176,7.0,17.6,10.0,10.0,18.0,18.0,52.6,,,37.0,89.6,A
2,2018/2019,4,PDS177,10.0,14.4,9.0,9.0,18.0,18.0,51.4,,,29.5,80.9,A
2,2018/2019,4,PDS178,10.0,14.0,9.0,9.0,14.67,14.7,47.7,,,28.5,76.2,A-
2,2018/2019,4,PDS179,10.0,16.0,10.0,10.0,16.67,16.7,52.7,,,24.0,76.7,A-
2,2018/2019,4,PDS180,7.0,13.6,9.0,9.0,16.0,16.0,45.6,,,28.0,73.6,B+
2,2018/2019,4,PDS181,8.0,17.2,10.0,10.0,16.0,16.0,51.2,,,31.0,82.2,A
2,2018/2019,4,PDS182,8.0,12.4,10.0,10.0,11.0,11.0,41.4,,,0.0,41.4,D+
2,2018/2019,4,PDS183,7.0,16.4,9.0,9.0,16.67,16.7,49.1,,,26.0,75.1,A-
2,2018/2019,4,PDS184,8.0,16.0,10.0,10.0,16.0,16.0,50.0,,,30.0,80.0,A
2,2018/2019,4,PDS185,7.0,13.2,10.0,10.0,16.67,16.7,46.9,,,21.0,67.9,B
2,2018/2019,4,PDS186,8.0,10.4,10.0,10.0,16.0,16.0,44.4,,,28.5,72.9,B+
2,2018/2019,4,PDS187,8.0,10.4,8.0,8.0,16.67,16.7,43.1,,,21.5,64.6,B-
2,2018/2019,4,PDS188,10.0,18.4,10.0,10.0,15.0,15.0,53.4,,,32.0,85.4,A
2,2018/2019,4,PDS189,7.5,14.4,10.0,10.0,15.0,15.0,46.9,,,28.0,74.9,B+
2,2018/2019,4,PDS190,7.0,12.0,10.0,10.0,16.67,16.7,45.7,,,23.0,68.7,B
2,2018/2019,4,PDS191,7.5,12.0,8.0,8.0,16.0,16.0,43.5,,,27.0,70.5,B+
2,2018/2019,4,PDS192,6.0,14.0,10.0,10.0,16.0,16.0,46.0,,,27.0,73.0,B+
2,2018/2019,4,PDS193,10.0,14.8,10.0,10.0,18.0,18.0,52.8,,,32.0,84.8,A
2,2018/2019,4,PDS194,9.0,15.2,7.0,7.0,11.0,11.0,42.2,,,27.0,69.2,B
2,2018/2019,4,PDS195,7.0,16.0,10.0,10.0,16.67,16.7,49.7,,,30.0,79.7,A-
2,2018/2019,4,PDS196,6.5,15.2,9.0,9.0,17.0,17.0,47.7,,,31.0,78.7,A-
2,2018/2019,4,PDS197,7.0,14.8,10.0,10.0,14.67,14.7,46.5,,,30.5,77.0,A-
2,2018/2019,4,PDS198,5.5,13.2,10.0,10.0,16.67,16.7,45.4,,,26.0,71.4,B+
2,2018/2019,4,PDS199,6.5,14.0,9.0,9.0,15.67,15.7,45.2,,,23.0,68.2,B
